Expected Impact / Date,Actual,Forecast,Previous
"Feb 27, 2026",0.5%,0.3%,0.4%
"Jan 30, 2026",0.5%,0.2%,0.2%
"Jan 14, 2026",0.2%,0.2%,0.1%
"Jan 14, 2026",0.1%,,0.6%
"Nov 25, 2025",0.3%,0.3%,-0.1%
"Sep 10, 2025",-0.1%,0.3%,0.7%
"Aug 14, 2025",0.9%,0.2%,0.0%
"Jul 16, 2025",0.0%,0.2%,0.3%
"Jun 12, 2025",0.1%,0.2%,-0.2%
"May 15, 2025",-0.5%,0.2%,0.0%
"Apr 11, 2025",-0.4%,0.2%,0.1%
"Mar 13, 2025",0.0%,0.3%,0.6%
"Feb 13, 2025",0.4%,0.3%,0.5%
"Jan 14, 2025",0.2%,0.4%,0.4%
"Dec 12, 2024",0.4%,0.2%,0.3%
"Nov 14, 2024",0.2%,0.2%,0.1%
"Oct 11, 2024",0.0%,0.1%,0.2%
"Sep 12, 2024",0.2%,0.1%,0.0%
"Aug 13, 2024",0.1%,0.2%,0.2%
"Jul 12, 2024",0.2%,0.1%,0.0%
"Jun 13, 2024",-0.2%,0.1%,0.5%
"May 14, 2024",0.5%,0.3%,-0.1%
"Apr 11, 2024",0.2%,0.3%,0.6%
"Mar 14, 2024",0.6%,0.3%,0.3%
"Feb 16, 2024",0.3%,0.1%,-0.1%
"Jan 12, 2024",-0.1%,0.1%,-0.1%
"Dec 13, 2023",0.0%,0.0%,-0.4%
"Nov 15, 2023",-0.5%,0.1%,0.4%
"Oct 11, 2023",0.5%,0.3%,0.7%
"Sep 14, 2023",0.7%,0.4%,0.4%
"Aug 11, 2023",0.3%,0.2%,0.0%
"Jul 13, 2023",0.1%,0.2%,-0.4%
"Jun 14, 2023",-0.3%,-0.1%,0.2%
"May 11, 2023",0.2%,0.3%,-0.4%
"Apr 13, 2023",-0.5%,0.0%,0.0%
"Mar 15, 2023",-0.1%,0.3%,0.3%
"Feb 16, 2023",0.7%,0.4%,-0.2%
"Jan 18, 2023",-0.5%,-0.1%,0.2%
"Dec 9, 2022",0.3%,0.2%,0.3%
"Nov 15, 2022",0.2%,0.4%,0.2%
"Oct 12, 2022",0.4%,0.2%,-0.2%
"Sep 14, 2022",-0.1%,-0.1%,-0.5%
"Aug 11, 2022",-0.5%,0.2%,1.1%
"Jul 14, 2022",1.1%,0.8%,0.8%
"Jun 14, 2022",0.8%,0.8%,0.5%
"May 12, 2022",0.5%,0.5%,1.4%
"Apr 13, 2022",1.4%,1.1%,0.8%
"Mar 15, 2022",0.8%,1.0%,1.0%
"Feb 15, 2022",1.0%,0.5%,0.2%
"Jan 13, 2022",0.2%,0.4%,0.8%
"Dec 14, 2021",0.8%,0.5%,0.6%
"Nov 9, 2021",0.6%,0.6%,0.5%
"Oct 14, 2021",0.5%,0.6%,0.7%
"Sep 10, 2021",0.7%,0.6%,1.0%
"Aug 12, 2021",1.0%,0.6%,1.0%
"Jul 14, 2021",1.0%,0.6%,0.8%
"Jun 15, 2021",0.8%,0.5%,0.6%
"May 13, 2021",0.6%,0.3%,1.0%
"Apr 9, 2021",1.0%,0.5%,0.5%
"Mar 12, 2021",0.5%,0.4%,1.3%
"Feb 17, 2021",1.3%,0.4%,0.3%
"Jan 15, 2021",0.3%,0.4%,0.1%
"Dec 11, 2020",0.1%,0.1%,0.3%
"Nov 13, 2020",0.3%,0.2%,0.4%
"Oct 14, 2020",0.4%,0.2%,0.3%
"Sep 10, 2020",0.3%,0.2%,0.6%
"Aug 11, 2020",0.6%,0.3%,-0.2%
"Jul 10, 2020",-0.2%,0.4%,0.4%
"Jun 11, 2020",0.4%,0.1%,-1.3%
"May 13, 2020",-1.3%,-0.5%,-0.2%
"Apr 9, 2020",-0.2%,-0.3%,-0.6%
"Mar 12, 2020",-0.6%,-0.1%,0.5%
"Feb 19, 2020",0.5%,0.1%,0.1%
"Jan 15, 2020",0.1%,0.2%,0.0%
"Dec 12, 2019",0.0%,0.2%,0.4%
"Nov 14, 2019",0.4%,0.3%,-0.3%
"Oct 8, 2019",-0.3%,0.1%,0.1%
"Sep 11, 2019",0.1%,0.0%,0.2%
"Aug 9, 2019",0.2%,0.2%,0.1%
"Jul 12, 2019",0.1%,0.1%,0.1%
"Jun 11, 2019",0.1%,0.1%,0.2%
"May 9, 2019",0.2%,0.2%,0.6%
"Apr 11, 2019",0.6%,0.3%,0.1%
"Mar 13, 2019",0.1%,0.2%,-0.1%
"Feb 14, 2019",-0.1%,0.1%,-0.2%
"Jan 15, 2019",-0.2%,-0.1%,0.1%
"Dec 11, 2018",0.1%,0.0%,0.6%
"Nov 9, 2018",0.6%,0.2%,0.2%
"Oct 10, 2018",0.2%,0.2%,-0.1%
"Sep 12, 2018",-0.1%,0.2%,0.0%
"Aug 9, 2018",0.0%,0.2%,0.3%
"Jul 11, 2018",0.3%,0.2%,0.5%
"Jun 13, 2018",0.5%,0.3%,0.1%
"May 9, 2018",0.1%,0.2%,0.3%
"Apr 10, 2018",0.3%,0.1%,0.2%
"Mar 14, 2018",0.2%,0.1%,0.4%
"Feb 15, 2018",0.4%,0.4%,-0.1%
"Jan 11, 2018",-0.1%,0.2%,0.4%
"Dec 12, 2017",0.4%,0.4%,0.4%
"Nov 14, 2017",0.4%,0.1%,0.4%
"Oct 12, 2017",0.4%,0.4%,0.2%
"Sep 13, 2017",0.2%,0.3%,-0.1%
"Aug 10, 2017",-0.1%,0.1%,0.1%
"Jul 13, 2017",0.1%,0.0%,0.0%
"Jun 13, 2017",0.0%,0.0%,0.5%
"May 11, 2017",0.5%,0.2%,-0.1%
"Apr 13, 2017",-0.1%,0.0%,0.3%
"Mar 14, 2017",0.3%,0.1%,0.6%
"Feb 14, 2017",0.6%,0.3%,0.3%
"Jan 13, 2017",0.3%,0.1%,0.4%
"Dec 14, 2016",0.4%,0.1%,0.0%
"Nov 16, 2016",0.0%,0.3%,0.3%
"Oct 14, 2016",0.3%,0.2%,0.0%
"Sep 15, 2016",0.0%,0.1%,-0.4%
"Aug 12, 2016",-0.4%,0.1%,0.5%
"Jul 14, 2016",0.5%,0.3%,0.4%
"Jun 15, 2016",0.4%,0.3%,0.2%
"May 13, 2016",0.2%,0.3%,-0.1%
"Apr 13, 2016",-0.1%,0.3%,-0.2%
"Mar 15, 2016",-0.2%,-0.2%,0.1%
"Feb 17, 2016",0.1%,-0.2%,-0.2%
"Jan 15, 2016",-0.2%,-0.2%,0.3%
"Dec 11, 2015",0.3%,0.0%,-0.4%
"Nov 13, 2015",-0.4%,0.2%,-0.5%
"Oct 14, 2015",-0.5%,-0.2%,0.0%
"Sep 11, 2015",0.0%,-0.1%,0.2%
"Aug 14, 2015",0.2%,0.1%,0.4%
"Jul 15, 2015",0.4%,0.2%,0.5%
"Jun 12, 2015",0.5%,0.4%,-0.4%
"May 14, 2015",-0.4%,0.1%,0.2%
"Apr 14, 2015",0.2%,0.3%,-0.5%
"Mar 13, 2015",-0.5%,0.2%,-0.8%
"Feb 18, 2015",-0.8%,-0.4%,-0.3%
"Jan 15, 2015",-0.3%,-0.3%,-0.2%
"Dec 12, 2014",-0.2%,-0.1%,0.2%
"Nov 18, 2014",0.2%,-0.1%,-0.1%
"Oct 15, 2014",-0.1%,0.1%,0.0%
"Sep 16, 2014",0.0%,0.1%,0.1%
"Aug 15, 2014",0.1%,0.1%,0.4%
"Jul 16, 2014",0.4%,0.2%,-0.2%
"Jun 13, 2014",-0.2%,0.1%,0.6%
"May 14, 2014",0.6%,0.2%,0.5%
"Apr 11, 2014",0.5%,0.1%,-0.1%
"Mar 14, 2014",-0.1%,0.2%,0.2%
"Feb 19, 2014",0.2%,0.2%,0.1%
"Jan 15, 2014",0.4%,0.5%,-0.1%
"Dec 13, 2013",-0.1%,0.0%,-0.2%
"Nov 21, 2013",-0.2%,-0.2%,-0.1%
"Oct 29, 2013",-0.1%,0.2%,0.3%
"Sep 13, 2013",0.3%,0.2%,0.0%
"Aug 14, 2013",0.0%,0.4%,0.8%
"Jul 12, 2013",0.8%,0.5%,0.5%
"Jun 14, 2013",0.5%,0.1%,-0.7%
"May 15, 2013",-0.7%,-0.6%,-0.6%
"Apr 12, 2013",-0.6%,-0.2%,0.7%
"Mar 14, 2013",0.7%,0.7%,0.2%
"Feb 20, 2013",0.2%,0.3%,-0.2%
"Jan 15, 2013",-0.2%,-0.1%,-0.8%
